Lat,Lon,Title,rank,Country,2021 pop.
23.0247687,113.1146335,Foshan,51,China,7406751
24.638916,46.7160104,Riyadh,52,Saudi Arabia,7387817
41.6749893,123.458674,Shenyang,53,China,7373655
33.3024309,44.3787992,Baghdad,54,Iraq,7323079
-6.8160837,39.2803583,Dar es Salaam,55,Tanzania,7046892
9.8694792,-83.7980749,Santiago,56,Chile,6811595
18.521428,73.8544541,Pune,57,India,6807984
40.4167047,-3.7035825,Madrid,58,Spain,6668865
45.7988273,126.5303997,Haerbin,59,China,6526439
43.6534817,-79.3839347,Toronto,60,Canada,6254571
-19.9227318,-43.9450948,Belo Horizonte,61,Brazil,6139774
1.357107,103.8194992,Singapore,62,Singapore,5991801
15.5635972,32.5349123,Khartoum,63,Sudan,5989024
-26.205,28.049722,Johannesburg,64,South Africa,5926668
38.9181714,121.6282945,Dalian,65,China,5775938
36.0638034,120.3781372,Qingdao,66,China,5742486
41.3828939,2.1774322,Barcelona,67,Spain,5624498
33.6251241,130.6180016,Fukuoka,68,Japan,5516158
36.6507007,117.1140042,Ji-nan Shandong,69,China,5513597
34.7487244,113.6191483,Zhengzhou,70,China,5510341
59.938732,30.316229,Saint Petersburg,71,Russia,5504305
16.7967129,96.1609916,Yangon,72,Myanmar,5421806
31.199004,29.894378,Alexandria,73,Egypt,5381101
5.320357,-4.016107,Abidjan,74,Ivory Coast,5354826
20.6720375,-103.338396,Guadalajara,75,Mexico,5259296
39.9207886,32.8540482,Ankara,76,Turkey,5215747
22.3364709,91.8260479,Chittagong,77,Bangladesh,5132751
-37.8142176,144.9631608,Melbourne,78,Australia,5061439
9.0107934,38.7612525,Addis Ababa,79,Ethiopia,5005524
-33.768528,150.956856,Sydney,80,Australia,4991654
25.6802019,-100.315258,Monterrey,81,Mexico,4955506
-1.2832533,36.8172449,Nairobi,82,Kenya,4922192
21.0294498,105.8544441,Hanoi,83,Vietnam,4874982
-10.3333333,-53.2,Brasilia,84,Brazil,4727902
-33.928992,18.417396,Cape Town,85,South Africa,4709990
21.5810088,39.1653612,Jiddah,86,Saudi Arabia,4696535
28.2302056,112.9335861,Changsha,87,China,4694722
24.8843019,102.8324209,Kunming,88,China,4550831
43.419754,87.319461,Urumqi,89,China,4543684
43.8130735,125.3171216,Changchun,90,China,4520695
31.8644668,119.9562502,Xinbei,91,Taiwan,4434905
23.356377,116.6775918,Shantou,92,China,4407928
31.8228094,117.2218033,Hefei,93,China,4371005
34.5260109,69.1776838,Kabul,94,Afghanistan,4335770
41.8933203,12.4829321,Rome,95,Italy,4278350
29.8622194,121.6203873,Ningbo,96,China,4263843
32.0852997,34.7818064,Tel Aviv,97,Israel,4263745
45.5031824,-73.5698065,Montreal,98,Canada,4247446
38.0429742,114.5088385,Shijiazhuang,99,China,4199392
-8.0584933,-34.8848193,Recife,100,Brazil,4174774
3.8689867,11.5213344,Yaounde,101,Cameroon,4164167
-30.0324999,-51.2303767,Porto Alegre,102,Brazil,4160682
-3.7304512,-38.5217989,Fortaleza,103,Brazil,4119633
49.1813403,-0.3635615,Kano,104,Nigeria,4103015
6.2443382,-75.573553,Medellin,105,Colombia,4033783
26.9154576,75.8189817,Jaipur,106,India,4007505
34.0536909,-118.242766,Los Angeles,107,United States,3983540
37.870009,112.5452739,Taiyuan Shanxi,108,China,3975985
22.8193063,108.3627211,Nanning,109,China,3974322
-26.184765,28.3210725,Ekurhuleni,110,South Africa,3969937
13.8000382,-88.9140683,Salvador,111,Brazil,3880314
33.5950627,-7.6187768,Casablanca,112,Morocco,3793585
4.0429408,9.706203,Douala,113,Cameroon,3793363
24.4801069,118.0853479,Xiamen,114,China,3790792
26.8381,80.9346001,Lucknow,115,India,3764619
26.0774954,119.2918215,Fuzhou Fujian,116,China,3764559
31.8122623,119.9691539,Changzhou,117,China,3749712
11.2450558,75.7754716,Kozhikode,118,India,3742198
-25.4295963,-49.2712724,Curitiba,119,Brazil,3726050
27.9963899,120.695345,Wenzhou,120,China,3725342
28.687547,115.8540042,Nanchang,121,China,3709958
7.3777462,3.8972497,Ibadan,122,Nigeria,3649023
11.1068448,76.1099551,Malappuram,123,India,3608928
52.5170365,13.3888599,Berlin,124,Germany,3566791
39.6295591,118.1738665,Tangshan Hebei,125,China,3562719
31.4220558,73.0923253,Faisalabad,126,Pakistan,3542020
-18.9100122,47.5255809,Antananarivo,127,Madagascar,3531887
-6.2349858,106.9945444,Bekasi,128,Indonesia,3510050
6.698081,-1.6230404,Kumasi,129,Ghana,3490030
0.3177137,32.5813539,Kampala,130,Uganda,3469510
35.1799528,129.0752365,Busan,131,South Korea,3465946
9.0643305,7.4892974,Abuja,132,Nigeria,3464123
25.7561647,112.72964,Guiyang,133,China,3407463
-25.2800459,-57.6343814,Asuncion,134,Paraguay,3394309
18.4801972,-69.942111,Santo Domingo,135,Dominican Republic,3388809
-22.90556,-47.06083,Campinas,136,Brazil,3343816
31.4933074,120.3074357,Wuxi,137,China,3315113
36.2974945,59.6059232,Mashhad,138,Iran,3264101
18.833333,-98,Puebla,139,Mexico,3244710
14.693425,-17.447938,Dakar,140,Senegal,3229800
10.5256264,76.2132542,Thrissur,141,India,3212604
9.931308,76.2674136,Kochi,142,India,3193029
29.3797091,47.9735629,Kuwait City,143,Kuwait,3177315
-29.861825,31.009909,Durban,144,South Africa,3176254
4.7676576,7.0188527,Port Harcourt,145,Nigeria,3171076
36.0620781,103.8318566,Lanzhou,146,China,3153808
26.4609135,80.3217588,Kanpur,147,India,3153425
37.9839412,23.7283052,Athens,148,Greece,3153255
45.4641943,9.1896346,Milan,149,Italy,3144473
22.7203616,75.8681996,Indore,150,India,3113445
39.0167979,125.7473609,Pyongyang,151,North Korea,3108108
15.260691,44.424895,Sanaa,152,Yemen,3075257
-2.2895167,-80.0983887,Guayaquil,153,Ecuador,3042941
38.4147331,27.1434119,Izmir,154,Turkey,3024020
50.4500336,30.5241361,Kiev,155,Ukraine,3000604
14.6222328,-90.5185188,Guatemala City,156,Guatemala,2983174
-7.2459717,112.7378266,Surabaya,157,Indonesia,2972091
38.7077507,-9.1365919,Lisbon,158,Portugal,2971587
10.506098,-66.9146017,Caracas,159,Venezuela,2945858
22.5213807,113.3656141,Zhongshan,160,China,2941522
21.1498134,79.0820556,Nagpur,161,India,2940487
34.979149,138.38299,Shizuoka,162,Japan,2930341
25.2653471,55.2924914,Dubai,163,United Arab Emirates,2921376
12.3681873,-1.5270944,Ouagadougou,164,Burkina Faso,2914619
-15.4164488,28.2821535,Lusaka,165,Zambia,2905993
11.0018115,76.9628425,Coimbatore,166,India,2860445
18.547327,-72.3395928,Port-au-Prince,167,Haiti,2843925
-6.4071903,106.8158348,Depok,168,Indonesia,2836941
36.583333,114.483333,Handan,169,China,2824345
37.456,126.7052,Incheon,170,South Korea,2818288
3.4517923,-76.5324943,Cali,171,Colombia,2809508
36.7753606,3.0601882,Algiers,172,Algeria,2809158
33.5524785,119.1075773,Huaian,173,China,2770106
53.4794892,-2.2451148,Manchester,174,United Kingdom,2750120
-16.680882,-49.2532691,Goiania,175,Brazil,2747887
36.7071591,119.1557441,Weifang,176,China,2746160
25.0375198,121.5636796,Taibei,177,Taiwan,2731208
12.6132655,-7.9847391,Bamako,178,Mali,2713230
8.5241122,76.9360573,Thiruvananthapuram,179,India,2690703
36.819626,117.980675,Zibo,180,China,2685108
41.8755616,-87.6244212,Chicago,181,United States,2679080
43.061936,141.3542924,Sapporo,182,Japan,2670121
-25.7459374,28.1879444,Pretoria,183,South Africa,2655282
-6.1258942,23.5998111,Mbuji-Mayi,184,DR Congo,2642794
29.9992425,120.576854,Shaoxing,185,China,2633145
52.4796992,-1.9026911,Birmingham,186,United Kingdom,2626374
37.461928,121.4425255,Yantai,187,China,2609465
-6.9344694,107.6049539,Bandung,188,Indonesia,2606850
49.2608724,-123.113952,Vancouver,189,Canada,2606351
23.1146515,114.4107202,Huizhou,190,China,2605871
-11.6642316,27.4826264,Lubumbashi,191,DR Congo,2584133
5.5571096,-0.2012376,Accra,192,Ghana,2556972
41.3123363,69.2787079,Tashkent,193,Uzbekistan,2545159
19.292545,-99.6569007,Toluca de Lerdo,194,Mexico,2522407
25.6093239,85.1235252,Patna,195,India,2481530
-0.7264327,15.6419155,Brazzaville,196,Republic of the Congo,2469630
34.6556873,112.4209629,Luoyang,197,China,2461883
23.2584857,77.401989,Bhopal,198,India,2446882
18.465299,-66.116666,San Juan,199,Puerto Rico,2445462
33.5130695,36.3095814,Damascus,200,Syria,2439814
-27.4689682,153.0234991,Brisbane,201,Australia,2439467
33.8959203,35.47843,Beirut,202,Lebanon,2434609
33.8439408,9.400138,Tunis,203,Tunisia,2402680
-6.1760311,106.6384468,Tangerang,204,Indonesia,2397447
2.0349312,45.3419183,Mogadishu,205,Somalia,2387920
40.1639991,50.2777093,Baku,206,Azerbaijan,2370776
3.5896654,98.6738261,Medan,207,Indonesia,2368348
31.7043556,35.2061876,Belem,208,Brazil,2360474
31.9827896,120.8904588,Nantong,209,China,2351145
38.2677554,140.8691498,Sendai,210,Japan,2334959
29.7589382,-95.3676974,Houston,211,United States,2323660
-3.1316333,-59.9825041,Manaus,212,Brazil,2302374
10.9799669,-74.8013085,Barranquilla,213,Colombia,2299186
10.6498095,-71.6443596,Maracaibo,214,Venezuela,2296118
32.1525312,74.1933745,Gujranwala,215,Pakistan,2290461
33.5914237,73.0535122,Rawalpindi,216,Pakistan,2280733
34.0123846,71.5787458,Peshawar,217,Pakistan,2272812
24.9929995,121.3010003,Taoyuan,218,Taiwan,2271507
27.1752554,78.0098161,Agra,219,India,2261561
40.8337963,111.6730788,Hohhot,220,China,2239344
40.6549157,109.8344586,Baotou,221,China,2238823
22.2973142,73.1942567,Vadodara,222,India,2232521
11.8762254,75.3738043,Kannur,223,India,2226693
24.3284746,109.4239676,Liuzhou,224,China,2226508
17.7231276,83.3012842,Visakhapatnam,225,India,2225906
34.2066591,117.278286,Xuzhou,226,China,2193219
35.8713,128.6018,Daegu,227,South Korea,2190571
40.8359336,14.2487826,Naples,228,Italy,2182885
31.9515694,35.9239625,Amman,229,Jordan,2182151
32.5010188,-116.964662,Tijuana,230,Mexico,2181104
32.6707877,51.6650002,Esfahan,231,Iran,2176927
11.568271,104.9224426,Phnom Penh,232,Cambodia,2143591
23.135305,-82.3589631,Havana,233,Cuba,2142866
20.0112475,73.7902364,Nashik,234,India,2123018
-3.1559361,-59.2794889,Grande Vitoria,235,Brazil,2109869
16.5087586,80.6185102,Vijayawada,236,India,2104113
50.8465573,4.351697,Brussels,237,Belgium,2095688
21.420847,39.826869,Mecca,238,Saudi Arabia,2078766
34.3916058,132.4518156,Hiroshima,239,Japan,2077569
-31.9527121,115.8604796,Perth,240,Australia,2067333
30.1979793,71.4724978,Multan,241,Pakistan,2059534
32.3969935,119.4077008,Yangzhou,242,China,2039472
53.9024716,27.5618225,Minsk,243,Belarus,2038822
40.1827657,29.0677305,Bursa,244,Turkey,2021116
38.8579735,115.490696,Baoding,245,China,2019960
36.19924,37.1637253,Aleppo,246,Syria,2003671
25.4557366,119.0029034,Putian,247,China,2002884
28.6581723,121.4163876,Taizhou Zhejiang,248,China,1992626
9.5170602,-13.6998434,Conakry,249,Guinea,1991134
37.1767104,116.8507744,Linyi Shandong,250,China,1984133
31.3536127,118.4277477,Wuhu Anhui,251,China,1960681
48.2083537,16.3725042,Vienna,252,Austria,1944910
8.8879509,76.5955013,Kollam,253,India,1940571
39.4697065,-0.3763353,Valencia,254,Venezuela,1934891
22.3053263,70.8028377,Rajkot,255,India,1933522
20.0462328,110.1956502,Haikou,256,China,1931705
43.2363924,76.9457275,Almaty,257,Kazakhstan,1927623
-24.0443878,-46.7040929,Baixada Santista,258,Brazil,1911338
33.3495657,120.1576778,Yancheng Jiangsu,259,China,1907903
46.5969028,125.1014811,Daqing,260,China,1907293
34.022405,-6.834543,Rabat,261,Morocco,1907071
53.7414271,-1.7202004,West Yorkshire,262,United Kingdom,1901947
-6.9903988,110.4229104,Semarang,263,Indonesia,1901570
-0.2201641,-78.5123274,Quito,264,Ecuador,1900571
8.9714493,-79.5341802,Panama City,265,Panama,1899081
17.360589,78.4740613,Hyderabad,266,Pakistan,1886734
30.9090157,75.851601,Ludhiana,267,India,1885456
-16.4955455,-68.1336229,La Paz,268,Bolivia,1881796
34.5978596,119.215813,Lianyungang,269,China,1877847
6.130419,1.215829,Lome,270,Togo,1874394
7.0645451,125.6084371,Davao City,271,Philippines,1866401
26.0962497,-99.2763436,Leon de los Aldamas,272,Mexico,1848932
22.273734,113.5721327,Zhuhai,273,China,1803711
45.0677551,7.6824892,Turin,274,Italy,1795235
44.4361414,26.1027202,Bucharest,275,Romania,1794248
36.9863599,35.3252861,Adana,276,Turkey,1792565
52.2319581,21.0067249,Warsaw,277,Poland,1789620
53.550341,10.000654,Hamburg,278,Germany,1788995
40.0919817,113.2951122,Datong,279,China,1788913
6.3330586,5.6221058,Benin City,280,Nigeria,1781999
47.4979937,19.0403594,Budapest,281,Hungary,1771865
9.9261153,78.1140983,Madurai,282,India,1765534
-34.9058916,-56.1913095,Montevideo,283,Uruguay,1759906
24.8755492,118.6723605,Quanzhou,284,China,1755721
-2.9888297,104.756857,Palembang,285,Indonesia,1753269
-17.78629,-63.18117,Santa Cruz,286,Bolivia,1748540
-25.966917,32.466956,Matola,287,Mozambique,1748247
37.0628317,37.3792617,Gaziantep,288,Turkey,1739687
25.3461498,55.4210633,Sharjah,289,United Arab Emirates,1736799
33.4484367,-112.0741417,Phoenix,290,United States,1733630
45.7578137,4.8320114,Lyon,291,France,1733581
29.0006525,77.7682288,Meerut,292,India,1728435
22.5816619,113.0761073,Jiangmen,293,China,1713021
10.0451859,105.7448944,Can Tho,294,Vietnam,1703487
21.2379469,81.6336833,Raipur,295,India,1702048
25.3356491,83.0076292,Varanasi,296,India,1692509
32.010998,112.1163785,Xiangyang,297,China,1684991
36.343694,43.0997156,Mosul,298,Iraq,1683029
55.8609825,-4.2488787,Glasgow,299,United Kingdom,1680669
55.0282171,82.9234509,Novosibirsk,300,Russia,1675866
29.6060218,52.5378041,Shiraz,301,Iran,1675226
25.542759670002300,-103.40687005418600,La Laguna,302,Mexico,1674258
30.1708675,121.261786,Cixi,303,China,1672457
59.3251172,18.0710935,Stockholm,304,Sweden,1656571
41.1075276,122.9902689,Anshan,305,China,1647001
-36.852095,174.7631803,Auckland,306,New Zealand,1630092
22.8015194,86.2029579,Jamshedpur,307,India,1629621
38.0739964,46.2961952,Tabriz,308,Iran,1627304
38.4852037,106.2261926,Yinchuan,309,China,1626584
42.9995032,125.9816054,Jilin,310,China,1623240
34.0747444,74.8204443,Srinagar,311,India,1622454
1.1061034,104.0378246,Batam,312,Indonesia,1617168
47.9490993,107.0222591,Ulaanbaatar,313,Mongolia,1615094
43.2961743,5.3699525,Marseille,314,France,1613797
-5.1342962,119.4124282,Makassar,315,Indonesia,1612249
30.694088,111.2803074,Yichang,316,China,1605526
19.877263,75.3390241,Aurangabad,317,India,1599927
23.5882019,58.3829448,Muscat,318,Oman,1589865
39.9395724,119.5894129,Qinhuangdao,319,China,1585961
39.9527237,-75.1635262,Philadelphia,320,United States,1585010
-31.4173391,-64.183319,Cordoba,321,Argentina,1584599
47.3523672,123.9164653,Qiqihaer,322,China,1583663
36.617331,101.7761976,Xining,323,China,1583164
35.8224892,50.9904681,Karaj,324,Iran,1582351
29.4246002,-98.4951405,San Antonio,325,United States,1581730
51.0460954,-114.065465,Calgary,326,Canada,1580659
27.0782342,112.3356329,Hengyang,327,China,1573731
36.3496,127.3848,Daejon,328,South Korea,1569459
6.328034,-10.797788,Monrovia,329,Liberia,1569013
11.1017815,77.345192,Tiruppur,330,India,1558993
-32.9595004,-60.6615415,Rosario,331,Argentina,1553530
48.1371079,11.5753822,Munich,332,Germany,1553373
22.6203348,120.3120375,Gaoxiong,333,Taiwan,1541861
-17.831773,31.045686,Harare,334,Zimbabwe,1541824
31.7097961,-106.455581,Ciudad Juarez,335,Mexico,1539758
36.1023552,114.33633,Anyang,336,China,1524622
-5.8951725,22.408589,Kananga,337,DR Congo,1524234
35.1595775,126.8515089,Gwangju,338,South Korea,1523822
33.9646533,118.2697192,Suqian,339,China,1520240
35.4125047,116.5849266,Jining Shandong,340,China,1518329
24.471153,39.6111216,Medina,341,Saudi Arabia,1517501
56.839104,60.60825,Yekaterinburg,342,Russia,1513142
24.4538352,54.3774014,Abu Dhabi,343,United Arab Emirates,1511768
26.2967719,73.0351433,Jodhpur,344,India,1509826
-28.500238,-53.586696,Grande Sao Luis,345,Brazil,1498475
53.535411,-113.507996,Edmonton,346,Canada,1491076
-5.805398,-35.2080905,Natal,347,Brazil,1485363
14.1056861,-87.204676,Tegucigalpa,348,Honduras,1485300
6.1461619,6.8019088,Onitsha,349,Nigeria,1482971
11.72559,15.24422,N-Djamena,350,Chad,1476115
23.3700354,85.3250132,Ranchi,351,India,1474748
27.708317,85.3205817,Kathmandu,352,Nepal,1471867
23.1608938,79.9497702,Jabalpur,353,India,1471644
21.9812746,96.082375,Mandalay,354,Myanmar,1469193
40.8228016,114.880567,Zhangjiakou,355,China,1468954
32.5866826,117.0130019,Huainan,356,China,1461918
23.6871297,86.9746587,Asansol,357,India,1453747
23.6566146,116.6205482,Chaozhou,358,China,1449830
25.1968256,76.0008933,Kota,359,India,1430870
32.7174202,-117.1627728,San Diego,360,United States,1427720
49.9923181,36.2310146,Kharkiv,361,Ukraine,1425987
37.3361905,-121.890583,San Jose,362,Costa Rica,1420533
12.9546871,100.7746521,Chon Buri,363,Thailand,1417247
25.4381302,81.8338005,Allahabad,364,India,1415463
26.2037247,78.1573628,Gwalior,365,India,1409820
45.4211435,-75.6900574,Ottawa,366,Canada,1407928
47.3744489,8.5410422,Zurich,367,Switzerland,1407572
44.8178131,20.4568974,Belgrade,368,Serbia,1401786
31.6343083,74.8736788,Amritsar,369,India,1400311
-7.1215981,-34.882028,Joao Pessoa,370,Brazil,1393345
29.3063535,120.0702682,Yiwu,371,China,1386791
30.4952371,47.8090981,Basra,372,Iraq,1381731
32.4585613,119.9181228,Taizhou Jiangsu,373,China,1381569
18.0629628,-15.9629106,Nouakchott,374,Mauritania,1372244
20.5927744,-100.3902245,Queretaro,375,Mexico,1364446
36.2002968,117.0809316,Taian Shandong,376,China,1364154
34.7333334,36.7166667,Homs,377,Syria,1362480
55.6867243,12.5700724,Copenhagen,378,Denmark,1358608
37.8768277,32.4874202,Konya,379,Turkey,1356280
7.1114611,-73.1172869,Bucaramanga,380,Colombia,1348882
23.7952809,86.4309638,Dhanbad,381,India,1348238
37.5120997,122.1152599,Weihai,382,China,1347865
32.7762719,-96.7968559,Dallas,383,United States,1347120
25.8332103,114.9287362,Ganzhou,384,China,1347065
-34.9281805,138.5999312,Adelaide,385,Australia,1345445
20.858864,106.6749591,Hai Phong,386,Vietnam,1341015
-4.05052,39.667169,Mombasa,387,Kenya,1340913
24.163162,120.6478282,Taizhong,388,Taiwan,1338086
-9.6476843,-35.7339264,Maceio,389,Brazil,1336999
-17.4012458,-66.1675737,Cochabamba,390,Bolivia,1336752
13.524834,2.109823,Niamey,391,Niger,1335700
37.266667,127.016667,Suwon,392,South Korea,1331826
13.6531651,100.8182578,Samut Prakan,393,Thailand,1324319
48.4433253,5.1377537,Joinville,394,Brazil,1319042
30.7474425,120.7510971,Jiaxing,395,China,1318418
34.7961106,114.3472038,Kaifeng,396,China,1317530
60.1674881,24.9427473,Helsinki,397,Finland,1316757
41.1494512,-8.6107884,Porto,398,Portugal,1316445
21.2737079,110.3548318,Zhanjiang,399,China,1315369
27.7237996,106.9191408,Zunyi,400,China,1313433
35.4150703,119.5214512,Rizhao,401,China,1312824
0.5184021,25.2057292,Kisangani,402,DR Congo,1312353
50.0874654,14.4212535,Prague,403,Czech Republic,1312199
37.4334738,118.6689349,Dongying,404,China,1311494
34.6423117,50.8800969,Qom,405,Iran,1311172
31.4627341,104.7463432,Mianyang Sichuan,406,China,1300725
30.792362,106.0826662,Nanchong,407,China,1299462
41.8692972,123.924157,Fushun Liaoning,408,China,1288357
36.9009641,30.6954846,Antalya,409,Turkey,1287439
28.457876,79.4055709,Bareilly,410,India,1285964
42.6978634,23.3221789,Sofia,411,Bulgaria,1284311
32.6314877,110.792752,Shiyan,412,China,1280495
55.7823547,49.1242266,Kazan,413,Russia,1279794
26.4367824,50.1039991,Ad-Dammam,414,Saudi Arabia,1279092
-33.9617051,25.6207519,Port Elizabeth,415,South Africa,1266533
31.3229936,48.6793316,Ahvaz,416,Iran,1261042
33.3705714,113.2720234,Liuan,417,China,1260817
-27.5973002,-48.5496098,Florianopolis,418,Brazil,1259112
56.3264816,44.0051395,Nizhniy Novgorod,419,Russia,1255073
-4.7975373,11.8503297,Pointe-Noire,420,Republic of the Congo,1253939
40.6747155,122.2357736,Yingkou,421,China,1251867
34.0346534,-5.0161926,Fes,422,Morocco,1245303
27.8769897,78.1372903,Aligarh,423,India,1244591
28.166416,113.6375778,Liuyang,424,China,1242055
53.3497645,-6.2602732,Dublin,425,Ireland,1241953
21.6656961,110.9209511,Maoming,426,China,1238809
35.777103,-5.803792,Tanger,427,Morocco,1238322
5.6394753,100.4815031,Pekan Baru,428,Indonesia,1238274
35.113997,117.1599113,Tengzhou,429,China,1236764
8.479004,-13.26795,Freetown,430,Sierra Leone,1236425
22.5000001,-100.4949145,San Luis Potosi,431,Mexico,1235426
12.3051828,76.6553609,Mysore,432,India,1234992
55.1598408,61.4025547,Chelyabinsk,433,Russia,1232887
28.8638424,78.8057783,Moradabad,434,India,1232190
10.0740372,-69.3215667,Barquisimeto,435,Venezuela,1227444
21.19,81.28,Durg-Bhilai,436,India,1225129
31.3016935,120.5810725,Suzhou,437,China,1219579
10.2375144,-67.5890216,Maracay,438,Venezuela,1216288
51.1282205,71.4306682,Astana,439,Kazakhstan,1211789
27.4989086,113.1529127,Zhuzhou,440,China,1209032
27.7809047,120.6512652,Ruian,441,China,1208306
5.0322447,7.924791,Uyo,442,Nigeria,1199929
32.1901111,119.4200584,Zhenjiang Jiangsu,443,China,1199515
34.3645811,107.2332184,Baoji,444,China,1197824
23.5528679,116.3680847,Jieyang,445,China,1194681
42.2799929,118.9426131,Chifeng,446,China,1194621
20.2667774,85.8435592,Bhubaneswar,447,India,1194431
33.7374744,113.2981436,Pingdingshan Henan,448,China,1193224
23.3000046,116.1611114,Puning,449,China,1192348
-34.787093,-68.4381868,Mendoza,450,Argentina,1191470
-6.5962986,106.7972421,Bogor,451,Indonesia,1183090
18.7882778,98.9858802,Chiang Mai,452,Thailand,1182498
-2.5196915,32.9014417,Mwanza,453,Tanzania,1182011
10.804973,78.6870296,Tiruchirappalli,454,India,1181912
54.991375,73.371529,Omsk,455,Russia,1181590
38.9174665,-6.3443977,Merida,456,Mexico,1181387
41.297577,123.7646562,Benxi,457,China,1176490
33.9566098,116.7928916,Huaibei,458,China,1174248
-13.9875107,33.768144,Lilongwe,459,Malawi,1170870
33.0010496,112.5292693,Nanyang Henan,460,China,1170491
29.1080344,119.6486487,Jinhua,461,China,1170332
27.8328352,112.9388078,Xiangtan Hunan,462,China,1170327
-1.950851,30.061507,Kigali,463,Rwanda,1169889
32.896672,13.1777923,Tripoli,464,Libya,1169790
30.7334421,76.7797143,Chandigarh,465,India,1169244
41.108528,121.1194219,Jinzhou,466,China,1168535
33.6938118,73.0651511,Islamabad,467,Pakistan,1163584
53.198627,50.113987,Samara,468,Russia,1160167
52.3727598,4.8936041,Amsterdam,469,Netherlands,1157519
16.068,108.212,Da Nang,470,Vietnam,1156585
32.8191218,34.9983856,Haifa,471,Israel,1155006
25.2383172,110.1752245,Guilin,472,China,1154702
63.3233807,97.0979974,Krasnoyarsk,473,Russia,1148957
32.6248622,-115.448325,Mexicali,474,Mexico,1140298
54.7261409,55.947499,Ufa,475,Russia,1139561
47.2213858,39.7114196,Rostov-on-Don,476,Russia,1137147
15.3518378,75.1379848,Hubli-Dharwad,477,India,1136923
26.1805978,91.753943,Guwahati,478,India,1135065
10.3825318,7.8533226,Kaduna,479,Nigeria,1133430
-2.5103908,28.8336436,Bukavu,480,DR Congo,1133371
26.5963778,104.8279652,Liupanshui,481,China,1131854
30.1957677,67.0172447,Quetta,482,Pakistan,1129361
50.938361,6.959974,Cologne,483,Germany,1128652
22.0000001,-102.5000001,Aguascalientes,484,Mexico,1124909
37.3821206,117.9647262,Binzhou,485,China,1124728
44.9391565,-123.033121,Salem,486,India,1123873
6.4153695,2.3062284,Abomey-Calavi,487,Benin,1122713
-25.966213,32.56745,Maputo,488,Mozambique,1121697
-5.4460713,105.2643742,Bandar Lampung,489,Indonesia,1114740
5.112735,7.364349,Aba,490,Nigeria,1114388
34.3402702,118.0068173,Pizhou,491,China,1114385
6.019531,6.917181,Nnewi,492,Nigeria,1113546
-7.3262484,108.2201154,Tasikmalaya,493,Indonesia,1112112
13.6989939,-89.1914249,San Salvador,494,El Salvador,1107305
